id	rock	label_theme
1	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/AOPT	http://data.bgs.ac.uk/id/Lexicon/Theme/SPRFCL
2	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/CNET	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
3	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BTCO	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
4	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/LOWC	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
5	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/HRHC	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
6	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/P26	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
7	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MOYG	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
8	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/JNJC	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
9	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BORO	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
10	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/ULK	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
11	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/AN	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
12	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/TBLN	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
13	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/GLA	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
14	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SMLR	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
15	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SWAM	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
16	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BDMO	http://data.bgs.ac.uk/id/Lexicon/Theme/SPRFCL
17	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MGV	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
18	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FAMA1	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
19	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/NO1B	http://data.bgs.ac.uk/id/Lexicon/Theme/SPRFCL
20	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BGGC	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
21	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BEOS	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
22	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/FDHN3	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
23	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BARC	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
24	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/RWNL	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
25	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/NMII	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
26	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BHLV	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
27	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MNS	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
28	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/RWSL	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
29	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/TFF	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
30	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/RAIS	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
31	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/EWL	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
32	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MOCA	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
33	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/VAG	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
34	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/HSLA	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
35	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/HTA	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
36	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/MRK	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
37	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/TBAG	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
38	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BHPI	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
39	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/RLE8	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
40	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/HACA	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
41	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/WGNC	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
42	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/LLF	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
43	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/M1C	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
44	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BARW	http://data.bgs.ac.uk/id/Lexicon/Theme/SPRFCL
45	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/PLA	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
46	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/ACR	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
47	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BNG	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
48	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/BOHIL	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
49	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/SHB	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
50	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/B1WC	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
51	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/WBS	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
52	http://data.bgs.ac.uk/id/Lexicon/NamedRockUnit/TRE	http://data.bgs.ac.uk/id/Lexicon/Theme/BEDRCK
